TaskType,Precision,TreatmentTypes,ConversationIds
0,0.6,[1,0,0,1,0,1,1,1,1,1,1,1,1,0,0],[5,9,2,10,8,12,11,4,14,6,7,3,15,1,13]
0,0.7,[1,1,1,1,0,1,0,1,0,1,1,0,0,1,1],[5,3,12,10,9,14,13,11,8,7,6,2,15,4,1]
0,0.8,[0,1,1,0,1,0,1,1,0,1,1,1,1,1,0],[13,5,4,15,14,8,7,12,9,3,1,2,10,6,11]
0,0.9,[1,1,1,1,1,0,0,1,0,1,0,1,1,0,1],[7,1,10,5,2,8,13,6,15,9,12,3,14,11,4]
0,0.6,[1,1,0,1,1,1,1,0,0,1,0,1,0,1,1],[14,11,8,6,5,10,12,13,9,15,1,7,2,4,3]
0,0.7,[0,1,1,0,1,1,0,1,0,1,1,1,0,1,1],[2,11,14,15,5,3,9,4,13,12,1,10,8,6,7]
0,0.8,[1,1,1,0,1,1,1,1,0,1,0,1,0,0,1],[6,4,1,8,2,10,5,14,9,12,15,7,11,13,3]
0,0.9,[1,1,1,1,0,0,0,1,1,1,1,0,1,0,1],[7,9,14,4,11,15,13,6,1,5,10,12,3,8,2]
0,0.6,[0,1,1,0,1,0,0,1,0,1,1,1,1,1,1],[2,5,6,1,14,9,13,10,8,15,7,4,3,12,11]
0,0.7,[1,0,1,1,1,1,0,1,1,0,1,0,1,1,0],[14,15,6,1,11,7,9,5,10,8,12,13,4,3,2]
0,0.8,[1,1,1,0,1,1,0,1,1,0,0,1,1,1,0],[7,10,14,8,12,5,15,6,1,9,11,2,3,4,13]
0,0.9,[0,1,1,1,1,0,1,1,0,1,0,0,1,1,1],[12,4,9,7,6,11,5,14,8,2,13,15,3,10,1]
0,0.6,[1,1,1,1,0,1,0,0,1,1,1,1,1,0,0],[12,6,14,4,1,7,2,13,11,10,15,5,3,8,9]
0,0.7,[0,0,1,0,1,1,0,1,0,1,1,1,1,1,1],[9,13,12,8,14,3,15,5,2,4,7,6,10,1,11]
0,0.8,[0,1,1,1,1,0,0,1,1,0,1,1,1,1,0],[13,4,1,10,12,9,11,5,6,8,2,7,3,14,15]
0,0.9,[1,0,1,0,1,1,0,0,0,1,1,1,1,1,1],[14,8,3,15,9,2,12,11,13,6,1,10,4,5,7]
0,0.6,[0,0,1,0,1,1,1,1,0,1,1,1,0,1,1],[8,2,6,1,10,3,11,12,13,5,15,14,9,7,4]
0,0.7,[1,0,1,1,0,1,1,1,1,0,1,1,0,0,1],[4,9,10,1,2,11,7,5,3,15,12,6,13,8,14]
0,0.8,[0,1,1,0,1,1,1,1,1,1,1,1,0,0,0],[13,3,2,9,5,4,14,6,10,1,7,12,11,15,8]
0,0.9,[1,0,1,1,0,1,1,1,1,1,0,1,0,1,0],[10,11,7,14,15,5,2,1,4,3,13,6,12,9,8]
0,0.6,[0,1,1,1,1,1,1,0,0,0,1,1,1,1,0],[8,14,4,5,6,10,12,1,2,9,15,3,7,11,13]
0,0.7,[1,0,1,1,1,1,1,1,0,1,0,1,1,0,0],[11,15,4,6,1,12,5,7,13,3,8,14,10,2,9]
0,0.8,[1,0,0,0,1,1,0,1,1,1,1,1,0,1,1],[12,11,15,13,7,2,8,14,10,6,5,1,9,3,4]
0,0.9,[0,1,0,1,0,0,1,0,1,1,1,1,1,1,1],[13,5,8,9,11,15,2,12,14,4,10,6,3,1,7]
0,0.6,[0,1,1,0,1,1,1,1,1,0,0,0,1,1,1],[1,10,11,9,3,4,6,12,7,2,13,8,15,14,5]
0,0.7,[1,1,1,1,1,0,1,1,1,0,0,1,0,1,0],[5,11,14,10,3,2,1,4,6,9,15,12,8,7,13]
0,0.8,[1,0,0,1,1,1,0,1,0,1,1,0,1,1,1],[7,15,9,6,14,2,8,3,13,4,10,11,1,12,5]
0,0.9,[1,1,1,0,1,1,1,0,1,1,0,0,1,1,0],[5,1,6,11,3,9,2,8,10,7,12,15,14,4,13]
0,0.6,[1,1,0,1,1,0,1,0,1,1,0,1,1,1,0],[3,7,9,10,6,13,12,1,14,15,2,5,11,4,8]
0,0.7,[1,1,0,1,0,0,1,1,1,1,1,1,0,1,0],[4,10,9,14,2,8,5,12,6,1,3,11,15,7,13]
0,0.8,[1,1,0,0,1,0,1,1,1,0,0,1,1,1,1],[5,1,15,11,2,13,10,4,14,9,8,3,6,12,7]
0,0.9,[1,0,1,0,1,1,1,0,1,1,0,1,1,0,1],[2,15,7,12,3,9,5,11,1,10,13,14,6,8,4]
0,0.6,[1,0,1,0,1,0,1,1,1,1,1,1,1,0,0],[4,13,11,8,14,9,6,10,7,12,3,15,5,2,1]
0,0.7,[1,0,1,1,1,1,0,0,1,0,1,1,0,1,1],[11,13,6,1,7,12,8,15,4,9,5,10,2,3,14]
0,0.8,[1,1,1,1,1,0,0,0,1,0,1,0,1,1,1],[14,7,12,1,4,9,13,15,5,8,10,11,6,2,3]
0,0.9,[1,1,0,0,1,1,0,1,1,1,1,0,0,1,1],[14,1,13,12,4,6,15,7,9,3,2,8,11,10,5]
0,0.6,[0,1,0,0,1,1,1,0,1,1,1,1,0,1,1],[2,6,8,1,11,14,7,13,3,5,10,15,9,12,4]
0,0.7,[1,1,1,0,1,0,0,1,1,1,0,1,1,0,1],[1,7,6,8,10,2,13,3,12,11,15,4,5,9,14]
0,0.8,[1,0,1,0,1,1,0,1,1,1,1,1,0,0,1],[1,15,7,11,10,5,9,3,6,14,2,12,13,8,4]
0,0.9,[0,1,1,0,0,1,1,1,0,1,0,1,1,1,1],[15,14,10,8,12,6,5,9,13,7,11,1,2,3,4]
